,Airline,Flight,AirportFrom,AirportTo,DayOfWeek,Time,Length,Delay
13280,US,1587,PHL,CLT,7.0,,121.0,0
13281,OO,6666,TUS,DEN,,1016.0,,0
13282,AA,560,RNO,ORD,6.0,,235.0,0
13283,DL,1443,SLC,RNO,3.0,1330.0,,1
13284,US,1195,PHX,SAN,,890.0,71.0,1
13285,WN,3394,BDL,MCO,,410.0,185.0,1
13286,9E,4361,MEM,SAT,,824.0,,0
13287,9E,3750,DTW,LAN,3.0,830.0,,0
13288,US,944,CLT,CLE,,,,1
13289,WN,675,ELP,SAT,,410.0,,1
13290,DL,1668,LAX,MSP,6.0,,214.0,0
13291,B6,1758,SJU,FLL,4.0,,164.0,1
13292,AS,637,PHX,SEA,7.0,1220.0,180.0,0
13293,XE,5939,BNA,ORD,,1092.0,,1
13294,DL,142,SFO,DTW,5.0,,,1
13295,OO,6274,ICT,DEN,,,,0
13296,WN,3145,SFO,PHX,,1080.0,115.0,0
13297,9E,4215,ATW,DTW,7.0,,,0
13298,WN,2406,MDW,BNA,6.0,635.0,80.0,1
13299,WN,394,MSP,MDW,,,90.0,0
13300,CO,442,IAH,TUL,2.0,1270.0,,0
13301,AA,2282,DFW,BOS,,1185.0,205.0,1
13302,AS,470,SEA,LAX,7.0,,157.0,0
13303,OO,6493,PDX,LMT,2.0,,65.0,0
13304,DL,1727,ATL,FLL,1.0,598.0,,0
13305,WN,19,BNA,MDW,5.0,,,1
13306,WN,878,MDW,SAT,,,185.0,1
13307,UA,378,PDX,ORD,,1390.0,,0
13308,MQ,4390,LGA,DTW,,1070.0,130.0,0
13309,OO,6869,ORD,ASE,,895.0,,1
13310,EV,5069,AGS,ATL,,440.0,83.0,1
13311,9E,4387,COU,MEM,1.0,990.0,75.0,0
13312,WN,3133,IND,TPA,,820.0,,0
13313,OO,6532,CLE,DEN,,,,0
13314,WN,3060,LAX,PHX,2.0,370.0,,1
13315,WN,971,PHL,PVD,,785.0,65.0,0
13316,WN,3498,STL,BWI,1.0,,115.0,1
13317,WN,963,MDW,BHM,4.0,,105.0,0
13318,XE,2312,EWR,SAV,,1170.0,140.0,0
13319,WN,2817,LAS,DEN,3.0,,,1
13320,US,1242,PHX,DCA,6.0,,,0
13321,DL,2239,DCA,ATL,7.0,1260.0,121.0,0
13322,DL,2353,LGA,TPA,2.0,1065.0,,0
13323,9E,4147,SYR,JFK,,,103.0,0
13324,MQ,4374,ORD,CMI,5.0,,,1
13325,XE,5933,ORD,LEX,,,,1
13326,CO,90,LAX,EWR,,765.0,300.0,1
13327,HA,266,HNL,OGG,,,37.0,0
13328,WN,1972,PHX,AUS,6.0,,130.0,1
13329,AA,563,DFW,SAT,,,,1
13330,F9,728,DEN,DCA,6.0,450.0,196.0,0
13331,DL,342,ATL,BNA,,,,0
13332,EV,7094,DAY,IAD,5.0,,80.0,0
13333,OH,6770,IND,DCA,1.0,,,0
13334,DL,1538,ATL,DCA,,1220.0,,1
13335,MQ,4009,PIT,ORD,,780.0,,0
13336,CO,326,IAH,BWI,,770.0,174.0,1
13337,WN,384,MDW,IAD,7.0,630.0,,0
13338,FL,751,BWI,HSV,7.0,1210.0,,0
13339,WN,2064,LAS,LAX,,,,1
13340,US,20,PHX,HNL,3.0,,,0
13341,UA,702,ORD,PHX,4.0,,,1
13342,OH,6321,ROC,JFK,5.0,,87.0,0
13343,OH,6766,MSN,LGA,3.0,1015.0,,0
13344,AA,301,LGA,ORD,,370.0,160.0,0
13345,OH,6505,CVG,PIT,,440.0,,1
13346,EV,5599,MEM,PHL,,,148.0,0
13347,MQ,3229,DFW,LBB,3.0,1270.0,70.0,0
13348,XE,2621,EWR,SDF,,,147.0,1
13349,OH,6330,TRI,ATL,,697.0,77.0,0
13350,DL,2608,SNA,MSP,4.0,,,1
13351,US,1696,CLT,BDL,,,,0
13352,9E,4343,FSD,DTW,3.0,360.0,,1
13353,WN,668,MDW,AUS,,920.0,,0
13354,WN,503,BNA,DEN,,,180.0,1
13355,OH,6332,CLE,CVG,4.0,440.0,,0
13356,FL,959,BWI,FLL,,,158.0,1
13357,MQ,4010,CLT,ORD,7.0,890.0,135.0,0
13358,WN,3411,MCO,MCI,4.0,,185.0,1
13359,MQ,3941,MCI,ORD,3.0,,,0
13360,MQ,3262,LRD,DFW,,700.0,80.0,0
13361,US,2030,DCA,BOS,,,,0
13362,CO,1475,IAH,DFW,1.0,1270.0,65.0,0
13363,OO,4771,ORD,SLC,3.0,450.0,,0
13364,DL,1254,ATL,CHS,4.0,,,1
13365,MQ,3258,PNS,DFW,2.0,,125.0,0
13366,OO,6554,DEN,FAR,1.0,810.0,,0
13367,WN,1757,LAX,ELP,,,,1
13368,OO,6928,FAR,DEN,,,122.0,1
13369,EV,7070,CAE,ORD,2.0,448.0,128.0,0
13370,AA,1073,DFW,DEN,,825.0,120.0,0
13371,EV,5316,CSG,ATL,,360.0,44.0,0
13372,YV,7240,SYR,ORD,,,,0
13373,WN,3062,ABQ,DAL,,,95.0,0
13374,WN,3074,MHT,MCO,,820.0,205.0,1
13375,EV,5550,AGS,ATL,,,,1
13376,WN,2012,BUR,PHX,3.0,785.0,,0
13377,B6,744,SJU,MCO,1.0,684.0,,1
13378,MQ,4275,MSN,ORD,,360.0,55.0,0
13379,DL,1425,ATL,TPA,,,,0
13380,XE,2218,EWR,RIC,,1140.0,87.0,0
13381,OO,6672,ORD,SPI,5.0,1016.0,,1
13382,9E,4327,TPA,RDU,1.0,,120.0,1
13383,WN,1685,PDX,ABQ,,,,1
13384,MQ,3936,BWI,ORD,,1045.0,150.0,1
13385,DL,2782,MEM,DCA,,505.0,119.0,0
13386,WN,595,SJC,RNO,,,,1
13387,DL,2422,MSP,DEN,5.0,1020.0,,1
13388,CO,1832,IAH,LGA,,700.0,205.0,1
13389,WN,3490,ALB,MDW,5.0,980.0,145.0,0
13390,MQ,4020,ROC,ORD,,740.0,,1
13391,AS,314,SFO,PSP,,1240.0,,1
13392,MQ,3253,DFW,CLL,2.0,640.0,,0
13393,AS,463,LAX,SEA,,1170.0,,0
13394,AA,608,SAN,DFW,,385.0,185.0,0
13395,WN,1528,BOS,STL,6.0,430.0,,0
13396,YV,7235,ALB,IAD,,,,0
13397,MQ,2991,DFW,CYS,,640.0,140.0,0
13398,MQ,3260,DAY,DFW,,765.0,,0
13399,OH,6582,ORD,JFK,4.0,870.0,160.0,0
13400,9E,3899,DTW,LAN,1.0,,47.0,1
13401,OO,7031,LAX,PDX,5.0,760.0,,1
13402,UA,535,ATL,ORD,4.0,680.0,133.0,0
13403,B6,196,LAS,JFK,4.0,,,1
13404,AA,764,DFW,LGA,,1115.0,195.0,0
13405,DL,2159,JFK,MCO,,,191.0,0
13406,B6,185,JFK,SAN,3.0,,377.0,1
13407,AS,530,SEA,ONT,,,148.0,0
13408,UA,733,DEN,SFO,3.0,814.0,,1
13409,DL,1778,DTW,JFK,2.0,1040.0,125.0,1
13410,DL,2178,DTW,CLT,3.0,,,0
13411,OH,6438,JFK,DTW,1.0,490.0,,0
13412,HA,387,KOA,HNL,5.0,,,1
13413,9E,4198,DCA,JFK,,,,0
13414,YV,7301,JAX,IAD,,,,0
13415,MQ,4067,RIC,ORD,,360.0,,0
13416,EV,7099,IAD,CVG,,1049.0,,0
13417,US,2141,BOS,LGA,7.0,,81.0,0
13418,EV,5187,LEX,ATL,1.0,,,1
13419,WN,1012,MHT,BWI,,,110.0,1
13420,UA,393,BDL,ORD,,,,0
13421,WN,306,DEN,OMA,4.0,,80.0,1
13422,YV,2734,PHX,LGB,,,80.0,1
13423,WN,1252,BWI,PVD,,605.0,70.0,1
13424,OO,4723,SLC,LGB,,,,0
13425,OO,4849,MSP,MEM,,1165.0,,0
13426,DL,2451,ATL,SDF,4.0,1305.0,87.0,1
13427,OO,6489,SFO,CIC,,466.0,55.0,1
13428,DL,2765,DTW,RDU,4.0,615.0,,0
13429,OH,6578,DTW,XNA,,,,1
13430,WN,569,DAL,MAF,,,75.0,1
13431,YV,7270,ROC,IAD,,,,1
13432,CO,206,IAH,TPA,,765.0,123.0,1
13433,WN,169,OMA,MDW,,,,1
13434,MQ,3786,IAH,ORD,3.0,,155.0,1
13435,US,1179,FLL,CLT,4.0,,,1
13436,FL,265,MKE,DCA,7.0,634.0,,0
13437,9E,3743,BOS,RDU,4.0,740.0,,0
13438,AS,552,SEA,PSP,3.0,540.0,,0
13439,EV,4953,TYS,ATL,,,68.0,0
13440,OH,6336,DCA,JFK,,865.0,100.0,0
13441,WN,46,ABQ,LAS,,1200.0,95.0,1
13442,AA,1502,ORD,TPA,,,155.0,0
13443,UA,511,JFK,LAX,,,392.0,1
13444,CO,1488,IAH,DTW,2.0,,,0
13445,US,1983,CLT,ATL,1.0,,90.0,0
13446,WN,595,PDX,RNO,4.0,,,1
13447,XE,2690,MCI,CLE,2.0,,115.0,1
13448,AA,1235,DFW,SNA,2.0,,190.0,0
13449,EV,5357,STL,DTW,,620.0,,1
13450,WN,492,AUS,SAN,4.0,,190.0,1
13451,WN,1441,LAX,OAK,6.0,435.0,,0
13452,YV,2945,IAD,CLT,5.0,,98.0,0
13453,WN,747,CMH,TPA,,740.0,,0
13454,HA,39,PDX,OGG,5.0,,355.0,0
13455,US,1764,JAX,CLT,2.0,,,0
13456,DL,1918,DTW,PBI,,600.0,,1
13457,WN,1332,PHX,OKC,,,,1
13458,CO,658,IAH,DCA,5.0,1145.0,168.0,1
13459,EV,4982,GRK,ATL,,,,0
13460,WN,2879,LAS,GEG,4.0,770.0,,1
13461,US,1460,SFO,CLT,3.0,,288.0,1
13462,CO,469,SFO,IAH,,,,1
13463,UA,136,LAX,IAD,3.0,1410.0,,0
13464,WN,2272,JAX,FLL,5.0,,70.0,0
13465,OO,6591,DEN,DRO,2.0,1313.0,62.0,1
13466,EV,5209,ATL,CAE,,725.0,58.0,1
13467,DL,2061,PHL,ATL,,390.0,,0
13468,UA,311,EWR,DEN,,,,1
13469,AS,354,SEA,OAK,4.0,1225.0,123.0,1
13470,DL,1482,JAC,SLC,1.0,795.0,63.0,0
13471,DL,1132,ATL,GSO,4.0,,78.0,0
13472,WN,476,BUR,SJC,,,65.0,1
13473,UA,492,SFO,STL,,,,1
13474,OO,6693,ORD,MLI,,,,0
13475,DL,2534,PBI,LGA,2.0,,,1
13476,AA,880,DFW,OMA,,1290.0,,0
13477,AA,606,DFW,SJU,,,265.0,1
13478,DL,2559,DTW,STL,5.0,,,0
13479,F9,283,STL,DEN,,,,1
13480,AA,2037,BNA,MIA,6.0,,135.0,0
13481,OO,4460,SLC,BZN,5.0,,80.0,0
13482,OO,6315,LAX,PDX,,,141.0,0
13483,9E,4137,DTW,MBS,,1305.0,51.0,1
13484,OO,6397,LAX,SBP,5.0,960.0,,1
13485,CO,489,IAH,SJC,,1090.0,,1
13486,CO,728,EWR,DEN,4.0,,266.0,1
13487,EV,5583,ATL,STL,7.0,,120.0,1
13488,XE,5892,ABE,ORD,6.0,,136.0,0
13489,UA,523,DEN,PHX,,,,0
13490,AA,552,SFO,MIA,6.0,,,1
13491,UA,685,LGA,ORD,6.0,,152.0,0
13492,XE,2476,EWR,CVG,,,129.0,0
13493,AA,581,DCA,STL,5.0,,140.0,0
13494,AA,1446,ORD,EWR,2.0,,145.0,1
13495,EV,5547,CAE,ATL,,617.0,69.0,0
13496,WN,557,SFO,LAS,3.0,755.0,,1
13497,WN,40,MCO,ECP,,765.0,75.0,1
13498,B6,232,LGB,SLC,4.0,482.0,103.0,1
13499,XE,2335,MCI,IAH,5.0,835.0,125.0,0
13500,XE,2391,EWR,DAY,7.0,,118.0,0
13501,OO,4455,MSP,FAR,1.0,1320.0,,1
13502,US,209,PHX,SAT,4.0,,,0
13503,EV,5414,DCA,BOS,4.0,415.0,,0
13504,9E,3799,DTW,TRI,,1205.0,,0
13505,YV,2720,MYR,CLT,2.0,1201.0,74.0,0
13506,WN,512,SAN,LAS,,,,1
13507,CO,1692,EWR,MCO,,1200.0,176.0,1
13508,OO,6837,SEA,LAX,2.0,,149.0,1
13509,WN,1493,HOU,SAT,,,55.0,1
13510,WN,1149,SMF,BUR,,425.0,,0
13511,AS,636,SEA,PHX,,750.0,163.0,0
13512,MQ,4389,BOS,JFK,,840.0,,0
13513,WN,3246,SAN,SJC,,,80.0,1
13514,EV,5124,ATL,PHF,2.0,,94.0,1
13515,WN,2007,BNA,FLL,,,,1
13516,AA,301,LGA,ORD,,370.0,160.0,0
13517,AA,600,SFO,DFW,6.0,,210.0,0
13518,9E,4263,CVG,MCI,1.0,565.0,120.0,1
13519,HA,280,OGG,KOA,,,32.0,1
13520,B6,19,BTV,JFK,7.0,,84.0,0
13521,WN,3116,HOU,LAX,,,,1
13522,EV,7068,IAD,GSP,,492.0,,0
13523,AA,2395,CLT,DFW,2.0,945.0,180.0,0
13524,WN,704,RNO,BOI,,500.0,65.0,1
13525,WN,938,BWI,PHX,7.0,755.0,,1
13526,UA,120,SFO,IAD,7.0,593.0,310.0,0
13527,DL,2499,MSP,PHX,,,,0
13528,WN,3814,MKE,MCO,2.0,530.0,,1
13529,OH,6368,STL,CVG,,,,0
13530,AA,1049,BWI,MIA,,,175.0,1
13531,MQ,3462,GUC,DFW,,,105.0,0
13532,WN,945,PHX,SNA,,1005.0,75.0,1
13533,DL,1978,PBI,ATL,,1130.0,,1
13534,HA,19,SMF,HNL,7.0,565.0,340.0,0
13535,XE,2008,IAH,JAX,6.0,990.0,,0
13536,FL,791,ATL,STL,6.0,,102.0,0
13537,EV,5240,SAV,ATL,3.0,602.0,,1
13538,WN,3833,TUL,PHX,,,,1
13539,FL,1596,TPA,GPT,,1007.0,95.0,0
13540,XE,2112,CVG,EWR,,813.0,,0
13541,XE,2677,DCA,CLE,,1023.0,78.0,1
13542,UA,147,SAN,SFO,7.0,,,0
13543,WN,1521,PDX,DEN,,735.0,,0
13544,B6,61,JFK,FLL,,772.0,184.0,0
13545,OH,6480,ORD,CVG,,1190.0,,1
13546,WN,3655,SFO,SNA,3.0,,85.0,1
13547,OO,4537,MSP,PIT,5.0,,,0
13548,WN,406,LAS,PHX,4.0,525.0,70.0,1
13549,EV,5291,ATL,ECP,2.0,570.0,,0
13550,FL,1185,TPA,GRR,7.0,,,0
13551,DL,1481,JFK,PHX,,1135.0,350.0,0
13552,AS,675,DEN,SEA,,725.0,,0
13553,MQ,4657,ATL,LGA,,780.0,,1
13554,9E,4371,SAV,DTW,,720.0,,0
13555,WN,1181,ELP,LAS,,880.0,,1
13556,UA,453,DEN,BOI,,,,1
13557,DL,2272,TPA,ATL,3.0,,100.0,0
13558,US,995,RIC,CLT,1.0,,,1
13559,WN,503,BWI,BNA,,660.0,120.0,0
13560,OO,6712,RNO,SFO,,,,0
13561,9E,3928,PIA,DTW,5.0,,,0
13562,OO,6585,BNA,ORD,,851.0,,0
13563,MQ,2975,DFW,ABI,4.0,975.0,,1
13564,YV,7237,ORD,JAX,,,,0
13565,XE,3087,CLE,DFW,7.0,1003.0,,0
13566,UA,260,IAD,MCO,1.0,,,1
13567,OO,4659,BIL,SLC,4.0,,,0
13568,FL,597,ROC,ATL,4.0,1080.0,,0
13569,WN,734,MDW,TPA,3.0,1135.0,,0
13570,CO,496,LAS,IAH,7.0,695.0,,1
13571,WN,3245,PDX,PHX,3.0,,,1
13572,DL,2465,MSP,ATL,6.0,,,0
13573,XE,2680,ORD,EWR,,855.0,,0
13574,XE,2841,IAH,DAY,1.0,,,0
13575,OO,6953,MKE,ORD,,631.0,44.0,0
13576,WN,2113,PHL,BOS,,490.0,,0
13577,US,457,PHX,SLC,,675.0,,1
13578,EV,7132,CAE,IAD,1.0,370.0,83.0,0
13579,WN,278,LAS,RNO,,855.0,80.0,1
13580,AA,1508,SNA,DFW,,,160.0,0
13581,WN,975,BHM,LAS,,885.0,255.0,1
13582,DL,2026,FLL,ATL,,,118.0,1
13583,AA,791,LGA,DFW,,,245.0,0
13584,WN,3932,OAK,BOI,,1115.0,85.0,1
13585,WN,3851,STL,FLL,2.0,795.0,,0
13586,US,791,SJU,CLT,4.0,1060.0,,1
13587,US,1967,PWM,CLT,3.0,480.0,,0
13588,CO,644,IAH,CLE,,1135.0,162.0,1
13589,FL,524,TPA,BWI,4.0,1116.0,,0
13590,MQ,2923,CMH,DFW,1.0,715.0,,0
13591,EV,5050,FNT,ATL,7.0,1107.0,148.0,1
13592,AA,6,OGG,DFW,5.0,,,0
13593,XE,2370,MSP,CLE,2.0,,105.0,1
13594,AA,451,ORD,SFO,,630.0,290.0,1
13595,WN,1250,JAX,BNA,,930.0,,1
13596,YV,7296,IAD,BDL,1.0,750.0,,0
13597,OH,6339,DTW,CID,,530.0,,0
13598,DL,1566,ATL,PVD,,1227.0,141.0,0
13599,WN,1589,BOS,BWI,5.0,625.0,,0
13600,OO,4868,SFO,LAX,,,,0
13601,YV,2748,PHX,SBP,7.0,667.0,105.0,0
13602,CO,2,HNL,IAH,3.0,1150.0,455.0,1
13603,DL,1436,DEN,DTW,,,169.0,1
13604,WN,825,BWI,MHT,2.0,,75.0,0
13605,OO,4704,SLC,DEN,,1017.0,83.0,1
13606,WN,3501,MSP,MDW,,,,0
13607,WN,3088,MSY,DAL,6.0,475.0,,0
13608,AA,1214,STL,LGA,3.0,,,0
13609,AA,1637,MCO,ORD,,390.0,185.0,1
13610,DL,680,ATL,EWR,,,,0
13611,US,1521,CLT,DEN,2.0,465.0,225.0,0
13612,WN,591,IAD,DEN,7.0,965.0,,0
13613,DL,1648,MIA,MEM,,,,0
13614,DL,2248,DTW,LGA,3.0,,116.0,1
13615,MQ,3306,CAE,DFW,5.0,670.0,,0
13616,WN,2812,TPA,RDU,2.0,605.0,,0
13617,AA,327,LGA,ORD,3.0,725.0,165.0,1
13618,AA,480,SAN,DFW,,1070.0,165.0,1
13619,XE,2825,EWR,BNA,5.0,1095.0,,0
13620,AS,323,SJC,SEA,,405.0,129.0,0
13621,WN,218,DAL,TUL,7.0,,55.0,1
13622,DL,2232,ORD,MSP,4.0,,,0
13623,WN,1385,LAS,MDW,,865.0,,1
13624,DL,1696,ATL,BDL,7.0,,150.0,0
13625,UA,525,EWR,DEN,4.0,,268.0,0
13626,AA,878,DFW,EWR,,975.0,210.0,0
13627,YV,7255,ORD,DTW,,,,1
13628,EV,5030,AGS,ATL,5.0,,59.0,1
13629,UA,464,PDX,ORD,7.0,804.0,234.0,0
13630,FL,1205,RSW,MDW,5.0,,,1
13631,9E,4219,ROA,DTW,,,100.0,1
13632,AA,133,JFK,LAX,1.0,930.0,,0
13633,B6,354,BUR,JFK,1.0,725.0,318.0,1
13634,DL,1701,BOS,ATL,7.0,,179.0,0
13635,MQ,3270,DFW,MOB,,780.0,95.0,1
13636,US,1798,LAS,PHL,4.0,1355.0,267.0,0
13637,US,973,PVD,CLT,5.0,,,0
13638,OO,4821,RDM,SLC,,,,0
13639,OH,6360,MCO,RDU,,,110.0,0
13640,MQ,2734,ABI,DFW,,,50.0,0
13641,US,939,DTW,PHX,,,,0
13642,WN,2904,LAX,SFO,,1185.0,75.0,1
13643,DL,2723,MSP,MCO,7.0,1150.0,,1
13644,B6,106,JFK,BUF,1.0,1238.0,87.0,0
13645,DL,2908,LAX,IND,,,241.0,0
13646,AA,1954,LAX,SFO,2.0,890.0,80.0,0
13647,XE,3065,EWR,CHS,4.0,560.0,,0
13648,XE,2424,CVG,EWR,,970.0,120.0,1
13649,AS,463,LAX,SEA,,,162.0,0
13650,9E,4233,MEM,CVG,7.0,505.0,90.0,1
13651,UA,329,DSM,DEN,1.0,954.0,125.0,0
13652,HA,391,ITO,HNL,,,49.0,0
13653,CO,1706,AUS,IAH,,,68.0,1
13654,XE,3142,OKC,IAH,,555.0,,1
13655,WN,750,ELP,LAX,3.0,935.0,130.0,1
13656,YV,2824,MRY,PHX,,,,0
13657,US,149,PHX,CMH,3.0,,212.0,0
13658,OO,6554,FAR,DEN,,1003.0,122.0,0
13659,WN,1577,BUR,SJC,,640.0,65.0,1
13660,DL,2285,ATL,PNS,4.0,,,0
13661,OO,6619,ACV,SFO,1.0,360.0,82.0,1
13662,AA,867,DCA,ORD,2.0,,,1
13663,DL,1376,LGA,BOS,2.0,,,1
13664,XE,2565,CLT,IAH,,1105.0,175.0,0
13665,WN,697,AUS,LAS,3.0,470.0,,0
13666,DL,1333,ATL,SLC,,,,1
13667,OO,6578,DEN,BIS,1.0,,94.0,0
13668,DL,1975,MSP,ATL,6.0,610.0,150.0,1
13669,FL,551,BUF,ATL,2.0,,,1
13670,WN,735,IAD,DEN,,,,1
13671,AA,1023,SJU,DFW,,1150.0,310.0,0
13672,AA,431,MIA,TPA,1.0,945.0,,0
13673,DL,2559,DTW,STL,,535.0,119.0,0
13674,AA,2585,BOS,MIA,5.0,495.0,,0
13675,OO,7036,ORD,OMA,1.0,437.0,90.0,1
13676,US,909,BOS,CLT,,,150.0,0
13677,MQ,3941,MCI,ORD,6.0,,,0
13678,OO,6243,LAX,LAS,,719.0,80.0,0
13679,UA,77,SFO,HNL,,,,0
13680,YV,2850,YUM,PHX,,,70.0,1
13681,DL,1981,MSP,MEM,,,125.0,0
13682,AA,1760,MIA,LGA,,1055.0,,0
13683,WN,871,SAN,SFO,2.0,,90.0,1
13684,WN,2716,MDW,IAD,,,105.0,0
13685,OO,6559,ORD,DTW,,,,1
13686,AA,2026,SNA,DFW,,760.0,,1
13687,WN,1584,BWI,MKE,,1145.0,130.0,0
13688,OO,6373,LAX,SBA,1.0,634.0,,1
13689,MQ,2949,DFW,TYS,,,,0
13690,US,1684,FLL,CLT,,,115.0,1
13691,AA,2282,SFO,DFW,1.0,,,1
13692,EV,5169,ELP,ATL,3.0,631.0,,0
13693,CO,41,EWR,LAX,6.0,,360.0,1
13694,AA,1481,OKC,DFW,,835.0,60.0,0
13695,US,149,SEA,PHX,2.0,315.0,,0
13696,B6,325,BDL,FLL,2.0,440.0,,0
13697,WN,2932,STL,DEN,6.0,,150.0,1
13698,AS,87,SEA,ANC,,600.0,,0
13699,OO,4545,LEX,MSP,2.0,390.0,130.0,0
13700,US,438,LAS,PHL,7.0,542.0,,0
13701,WN,1554,PHX,BHM,6.0,,,1
13702,B6,1,JFK,FLL,2.0,485.0,187.0,1
13703,B6,91,JFK,OAK,,,,0
13704,OO,6634,ORD,LAN,5.0,1012.0,,0
13705,MQ,3026,MRY,LAX,1.0,405.0,,0
13706,9E,3826,DTW,PWM,5.0,600.0,117.0,0
13707,OO,6556,TUL,DEN,,1195.0,110.0,0
13708,OO,7041,LAX,LAS,7.0,,70.0,1
13709,XE,2310,MIA,CLE,2.0,722.0,167.0,1
13710,DL,2181,MSP,SMF,4.0,555.0,243.0,0
13711,OO,6285,MTJ,ORD,5.0,,,1
13712,OO,6519,LAX,SJC,5.0,1058.0,,0
13713,9E,4069,MSP,OMA,,1030.0,75.0,0
13714,B6,713,JFK,SJU,2.0,,224.0,0
13715,FL,225,LAS,MKE,7.0,1439.0,,0
13716,WN,3245,PHX,LAS,,,,1
13717,US,1218,FLL,DCA,,715.0,,0
13718,WN,650,MDW,MHT,,,,0
13719,DL,2909,MSP,STL,,925.0,,1
13720,DL,2284,SLC,BNA,,,197.0,1
13721,OO,3094,MKE,OMA,4.0,852.0,,1
13722,WN,822,BOS,BWI,2.0,920.0,90.0,1
13723,EV,5124,ATL,MLB,7.0,,,0
13724,CO,1511,IAH,SNA,,1085.0,,1
13725,OO,7755,CDC,SLC,3.0,546.0,,0
13726,HA,9,LAX,HNL,,1030.0,,1
13727,DL,1416,ATL,ORF,3.0,445.0,,0
13728,WN,2066,BWI,SAT,,695.0,,1
13729,OH,6742,DTW,SDF,,,,0
13730,OO,7812,RKS,GCC,1.0,1259.0,70.0,1
13731,DL,674,STT,ATL,,952.0,253.0,0
13732,WN,2082,TPA,MSY,,,,0
13733,AA,1183,IAD,DFW,7.0,1175.0,,0
13734,OH,6428,DTW,ORF,4.0,1305.0,116.0,0
13735,AS,189,ANC,FAI,1.0,,,0
13736,WN,2697,ALB,BWI,,,,1
13737,EV,5403,MEM,MFE,,,,1
13738,OH,6360,MCO,RDU,1.0,1180.0,,0
13739,AA,867,ORD,DEN,,1165.0,,1
13740,MQ,4074,XNA,ORD,7.0,,105.0,0
13741,DL,1064,IND,ATL,,1105.0,,1
13742,WN,2300,DAL,MSY,,1190.0,,1
13743,DL,2783,ATL,AUS,,,,0
13744,MQ,4275,MSN,ORD,,360.0,55.0,0
13745,OO,6437,LMT,PDX,,548.0,82.0,0
13746,DL,2572,STL,DTW,1.0,538.0,92.0,1
13747,OO,4640,MSP,CLE,4.0,,,0
13748,MQ,3941,MCI,ORD,1.0,,,0
13749,EV,7135,CHS,IAD,,,,0
13750,DL,1261,ATL,HOU,7.0,,140.0,0
13751,MQ,4009,PIT,ORD,1.0,,,1
13752,EV,7098,ORD,ORF,2.0,562.0,,1
13753,AA,371,LGA,ORD,2.0,1235.0,150.0,1
13754,OO,6953,BOI,ORD,,,198.0,1
13755,DL,1286,ORF,ATL,5.0,883.0,117.0,0
13756,WN,1691,BWI,BDL,7.0,,70.0,1
13757,EV,5551,VPS,ATL,,465.0,,0
13758,AS,896,OGG,SJC,4.0,945.0,,1
13759,OO,6977,ORD,SLC,,1205.0,207.0,0
13760,WN,2529,DEN,LAX,,,,0
13761,OO,4777,PSC,SLC,4.0,,,1
13762,WN,684,PHX,SNA,,1050.0,70.0,1
13763,AA,1636,ELP,DFW,4.0,570.0,,0
13764,MQ,4518,CMH,LGA,,,105.0,0
13765,WN,1907,MCI,DAL,,880.0,95.0,0
13766,WN,556,ONT,SMF,,,80.0,1
13767,MQ,3041,LAX,SAN,,,,0
13768,B6,1417,AUS,LGB,,1050.0,,0
13769,XE,3113,OMA,EWR,,,178.0,0
13770,XE,2310,MIA,CLE,,722.0,,0
13771,9E,3668,TYS,LGA,5.0,365.0,,0
13772,WN,1903,OAK,SAN,6.0,,85.0,1
13773,FL,377,MKE,TPA,1.0,905.0,,0
13774,US,1247,PBI,PHL,,830.0,,0
13775,AA,1525,LAX,SFO,,1025.0,,0
13776,AA,1812,MIA,LAX,7.0,1170.0,355.0,0
13777,WN,3067,MCI,DAL,4.0,,90.0,1
13778,OO,6506,LAX,BOI,,,,1
13779,EV,5289,OMA,ATL,,,,1
13780,WN,28,MCI,MDW,,975.0,85.0,1
13781,WN,775,DTW,MDW,,940.0,65.0,1
13782,AS,307,SFO,SEA,,,,0
13783,EV,5062,ATL,GSO,,485.0,,0
13784,UA,382,ORD,IAD,,524.0,113.0,1
13785,XE,3052,CRP,IAH,2.0,710.0,62.0,0
13786,WN,847,OAK,LAX,,635.0,,1
13787,US,2020,DCA,BOS,5.0,,,0
13788,DL,1164,MCI,ATL,3.0,995.0,,1
13789,US,601,LAS,PHX,,,,0
13790,WN,1347,FLL,PHL,5.0,,,0
13791,9E,3703,GRR,MSP,5.0,810.0,,1
13792,YV,2716,OMA,PHX,,1095.0,174.0,0
13793,WN,556,SEA,BOI,,400.0,,0
13794,CO,241,IAH,AUS,2.0,780.0,51.0,0
13795,AA,1141,JFK,MIA,,345.0,190.0,1
13796,WN,731,LAX,DEN,,440.0,,1
13797,WN,1392,MDW,PIT,,660.0,,1
13798,XE,2628,SAV,IAH,3.0,,,0
13799,MQ,4025,ORD,RST,3.0,,,0
13800,XE,3037,CHS,IAH,,,,0
13801,9E,4006,MEM,CVG,,895.0,,0
13802,B6,709,JFK,SJU,7.0,960.0,,0
13803,FL,639,BWI,DAY,2.0,1290.0,89.0,0
13804,WN,715,MDW,BOS,4.0,395.0,135.0,0
13805,YV,1012,HNL,OGG,7.0,,35.0,0
13806,WN,879,MCO,RSW,6.0,,50.0,0
13807,AA,2356,DFW,ORD,,,140.0,1
